NOMBRE,CODIGO,VOTOS,CASILLAS
SAN LUIS RIO COLORADO I    ,D01,0,14
PUERTO PEÑASCO II   ,D02,0,22
CABORCA III  ,D03,0,17
NOGALES NORTE IV   ,D04,0,12
NOGALES SUR V    ,D05,0,23
CANANEA VI   ,D06,0,17
AGUA PRIETA VII  ,D07,0,17
HERMOSILLO NOROESTE VIII ,D08,0,23
HERMOSILLO CENTRO IX   ,D09,0,19
HERMOSILLO NORESTE X    ,D10,0,19
HERMOSILLO COSTA XI   ,D11,0,23
HERMOSILLO SUR XII  ,D12,0,19
GUAYMAS XIII ,D13,0,18
EMPALME XIV  ,D14,0,15
OBREGON SUR XV   ,D15,0,16
OBREGON SURESTE XVI  ,D16,0,16
OBREGON CENTRO XVII ,D17,0,17
OBREGON NORTE XVIII,D18,0,16
NAVOJOA NORTE XIX  ,D19,0,15
ETCHOJOA XX   ,D20,0,18
HUATABAMPO XXI  ,D21,0,14
