"LLEGADA","DISTRITO.LOCAL","MUNICIPIO","SECCION","CASILLA","PAN","PRI","PRD","PVEM","PT","PANAL","MORENA","HUMANISTA","ENCUENTRO.SOCIAL","PRI.PVEM.PANAL","PRI.PVEM","PRI.PANAL","PVEM.PANAL","COALICION","CANDIDATO.NO.REGISTRADO","VOTOS.NULOS","TOTAL.VOTOS.VALIDOS","VOTACION.TOTAL.EMITIDA"
222,"AGUA PRIETA VII  ","AGUA PRIETA",20,"CONTIGUA 5",198,94,6,0,5,0,5,0,1,0,0,0,0,94,0,2,309,311
327,"AGUA PRIETA VII  ","AGUA PRIETA",26,"CONTIGUA 2",199,83,4,1,6,29,1,3,2,11,1,5,1,131,1,13,346,360
224,"AGUA PRIETA VII  ","NACOZARI DE GARCIA",158,"BASICA",19,25,9,3,2,3,11,0,3,0,0,0,0,31,0,0,75,75
59,"AGUA PRIETA VII  ","AGUA PRIETA",3,"BASICA",207,78,4,2,5,21,0,2,1,7,1,3,0,112,0,9,331,340
309,"AGUA PRIETA VII  ","AGUA PRIETA",30,"BASICA",53,57,0,3,0,29,0,0,0,4,1,8,0,102,0,1,155,156
285,"AGUA PRIETA VII  ","AGUA PRIETA",8,"CONTIGUA 2",190,71,9,2,7,21,5,0,0,2,0,11,0,107,1,3,318,322
253,"AGUA PRIETA VII  ","CUMPAS",94,"BASICA",133,158,36,2,1,65,0,2,2,3,0,0,0,228,0,7,402,409
300,"AGUA PRIETA VII  ","AGUA PRIETA",10,"CONTIGUA 2",205,68,4,4,4,16,5,0,0,10,0,5,0,103,0,8,321,329
9,"AGUA PRIETA VII  ","VILLA HIDALGO",288,"BASICA",64,90,29,2,1,3,2,1,0,0,0,0,0,95,0,9,192,201
18,"AGUA PRIETA VII  ","CUMPAS",95,"BASICA",11,69,2,1,1,24,0,0,0,0,0,3,0,97,0,0,111,111
131,"AGUA PRIETA VII  ","AGUA PRIETA",16,"BASICA",232,73,2,0,4,37,0,2,2,11,0,8,0,129,0,7,371,378
84,"AGUA PRIETA VII  ","AGUA PRIETA",22,"CONTIGUA 7",170,79,4,6,5,18,6,0,0,2,2,4,0,111,0,5,296,301
229,"AGUA PRIETA VII  ","AGUA PRIETA",24,"CONTIGUA 8",194,54,4,3,8,23,3,3,2,8,1,7,0,96,0,4,310,314
336,"AGUA PRIETA VII  ","NACOZARI DE GARCIA",153,"CONTIGUA 1",100,116,20,1,1,3,3,0,1,5,1,3,0,129,0,6,254,260
218,"AGUA PRIETA VII  ","FRONTERAS",104,"CONTIGUA 2",99,181,1,11,24,0,0,0,1,10,7,0,0,209,0,2,334,336
328,"AGUA PRIETA VII  ","MOCTEZUMA",141,"BASICA",51,47,0,1,1,3,1,0,1,8,3,0,0,62,0,0,116,116
232,"AGUA PRIETA VII  ","BAVISPE",64,"CONTIGUA 1",182,118,0,0,0,0,2,0,0,4,0,3,0,125,0,2,309,311
362,"CABORCA III  ","CABORCA",308,"CONTIGUA 2",122,127,8,7,14,2,29,2,3,0,2,0,0,138,0,3,316,319
347,"CABORCA III  ","CABORCA",303,"CONTIGUA 1",94,117,2,3,2,2,12,2,1,0,0,0,0,122,0,4,235,239
213,"CABORCA III  ","CABORCA",316,"BASICA",126,157,7,4,7,1,24,0,9,0,0,0,0,162,0,10,335,345
358,"CABORCA III  ","CABORCA",298,"CONTIGUA 1",130,155,4,1,11,6,25,1,5,4,1,0,0,167,0,13,343,356
341,"CABORCA III  ","CABORCA",301,"BASICA",83,126,4,2,6,4,12,2,3,0,1,1,0,134,0,3,244,247
109,"CABORCA III  ","CABORCA",305,"BASICA",135,166,6,5,19,16,14,0,6,0,1,0,0,188,0,8,368,376
181,"CABORCA III  ","SANTA ANA",256,"CONTIGUA 1",155,182,2,0,3,6,2,1,0,0,2,0,0,190,0,1,353,354
73,"CABORCA III  ","BENJAMIN HILL",66,"CONTIGUA 1",145,133,3,1,11,4,4,2,14,4,1,1,0,144,0,5,323,328
270,"CABORCA III  ","CABORCA",310,"BASICA",153,171,1,1,5,5,18,2,3,2,1,1,0,181,0,7,363,370
