LLEGADA,DISTRITO.LOCAL,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,PANAL,MORENA,HUMANISTA,ENCUENTRO.SOCIAL,PRI.PVEM.PANAL,PRI.PVEM,PRI.PANAL,PVEM.PANAL,COALICION,CANDIDATO.NO.REGISTRADO,VOTOS.NULOS,TOTAL.VOTOS.VALIDOS,VOTACION.TOTAL.EMITIDA
216.0,OBREGON CENTRO XVII ,CAJEME,961.0,BASICA,195.0,150.0,1.0,1.0,3.0,1.0,11.0,0.0,0.0,0.0,8.0,0.0,0.0,160.0,0.0,3.0,370.0,373.0
228.0,HERMOSILLO NORESTE X    ,HERMOSILLO,361.0,CONTIGUA 1,120.0,97.0,6.0,4.0,2.0,1.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,104.0,0.0,7.0,240.0,247.0
145.0,NAVOJOA NORTE XIX  ,QUIRIEGO,1307.0,BASICA,248.0,182.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,189.0,0.0,1.0,446.0,447.0
39.0,OBREGON NORTE XVIII,CAJEME,952.0,EXTRAORDINARIA 1,78.0,78.0,5.0,1.0,4.0,9.0,7.0,0.0,1.0,0.0,3.0,1.0,0.0,92.0,0.0,8.0,187.0,195.0
88.0,CABORCA III  ,CABORCA,314.0,CONTIGUA 2,145.0,202.0,5.0,3.0,9.0,6.0,22.0,2.0,6.0,2.0,0.0,0.0,0.0,213.0,0.0,9.0,402.0,411.0
127.0,GUAYMAS XIII ,GUAYMAS,1059.0,BASICA,169.0,152.0,11.0,0.0,13.0,0.0,13.0,3.0,2.0,0.0,0.0,0.0,0.0,152.0,0.0,7.0,363.0,370.0
317.0,OBREGON SUR XV   ,CAJEME,976.0,BASICA,135.0,137.0,4.0,8.0,5.0,5.0,9.0,2.0,2.0,5.0,2.0,2.0,0.0,159.0,0.0,7.0,316.0,323.0
17.0,OBREGON SURESTE XVI  ,CAJEME,863.0,BASICA,68.0,116.0,6.0,1.0,1.0,6.0,13.0,2.0,0.0,5.0,2.0,0.0,0.0,130.0,0.0,7.0,220.0,227.0
26.0,OBREGON SURESTE XVI  ,CAJEME,904.0,CONTIGUA 2,76.0,104.0,3.0,3.0,0.0,2.0,11.0,2.0,5.0,0.0,1.0,0.0,0.0,110.0,0.0,1.0,207.0,208.0
222.0,AGUA PRIETA VII  ,AGUA PRIETA,20.0,CONTIGUA 5,198.0,94.0,6.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,94.0,0.0,2.0,309.0,311.0
343.0,NOGALES SUR V    ,NOGALES,1439.0,CONTIGUA 1,76.0,80.0,7.0,6.0,11.0,2.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,88.0,0.0,4.0,193.0,197.0
178.0,HERMOSILLO NORESTE X    ,HERMOSILLO,413.0,BASICA,199.0,194.0,4.0,8.0,3.0,2.0,11.0,6.0,1.0,3.0,3.0,0.0,0.0,210.0,0.0,13.0,434.0,447.0
98.0,OBREGON NORTE XVIII,CAJEME,949.0,CONTIGUA 1,86.0,181.0,14.0,4.0,6.0,4.0,17.0,5.0,3.0,4.0,1.0,1.0,0.0,195.0,0.0,6.0,326.0,332.0
292.0,NAVOJOA NORTE XIX  ,NAVOJOA,1231.0,BASICA,76.0,125.0,1.0,2.0,2.0,6.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,135.0,0.0,8.0,217.0,225.0
116.0,HERMOSILLO NORESTE X    ,HERMOSILLO,408.0,BASICA,128.0,89.0,9.0,2.0,5.0,3.0,12.0,3.0,2.0,1.0,6.0,0.0,0.0,101.0,0.0,10.0,260.0,270.0
231.0,SAN LUIS RIO COLORADO I    ,SAN LUIS RIO COLORADO,706.0,BASICA,111.0,78.0,2.0,5.0,0.0,2.0,9.0,5.0,7.0,0.0,1.0,0.0,0.0,86.0,0.0,8.0,220.0,228.0
340.0,OBREGON CENTRO XVII ,CAJEME,812.0,CONTIGUA 1,95.0,154.0,9.0,4.0,4.0,2.0,22.0,4.0,5.0,2.0,4.0,0.0,0.0,166.0,1.0,10.0,305.0,316.0
276.0,NOGALES SUR V    ,NOGALES,223.0,CONTIGUA 8,116.0,122.0,10.0,7.0,7.0,2.0,14.0,9.0,1.0,0.0,1.0,0.0,0.0,132.0,0.0,3.0,289.0,292.0
253.0,AGUA PRIETA VII  ,CUMPAS,94.0,BASICA,133.0,158.0,36.0,2.0,1.0,65.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,228.0,0.0,7.0,402.0,409.0
193.0,ETCHOJOA XX   ,ETCHOJOA,1167.0,BASICA,115.0,115.0,31.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,118.0,0.0,8.0,270.0,278.0
280.0,OBREGON SUR XV   ,CAJEME,901.0,CONTIGUA 3,87.0,150.0,8.0,6.0,3.0,1.0,12.0,3.0,7.0,0.0,0.0,0.0,0.0,157.0,0.0,5.0,277.0,282.0
242.0,OBREGON NORTE XVIII,CAJEME,937.0,BASICA,70.0,151.0,5.0,3.0,4.0,4.0,14.0,2.0,1.0,2.0,2.0,0.0,0.0,162.0,0.0,3.0,258.0,261.0
356.0,NOGALES SUR V    ,NOGALES,217.0,CONTIGUA 5,111.0,105.0,7.0,2.0,10.0,3.0,10.0,4.0,2.0,1.0,3.0,0.0,0.0,114.0,1.0,2.0,258.0,261.0
209.0,SAN LUIS RIO COLORADO I    ,SAN LUIS RIO COLORADO,717.0,BASICA,96.0,54.0,5.0,5.0,0.0,4.0,16.0,3.0,6.0,0.0,1.0,0.0,0.0,64.0,0.0,2.0,190.0,192.0
137.0,OBREGON CENTRO XVII ,CAJEME,807.0,CONTIGUA 13,80.0,224.0,18.0,2.0,2.0,15.0,18.0,11.0,7.0,2.0,0.0,1.0,0.0,244.0,0.0,16.0,380.0,396.0
322.0,SAN LUIS RIO COLORADO I    ,SAN LUIS RIO COLORADO,719.0,CONTIGUA 1,102.0,81.0,6.0,0.0,2.0,0.0,12.0,2.0,8.0,0.0,0.0,0.0,0.0,81.0,0.0,6.0,213.0,219.0
247.0,OBREGON SURESTE XVI  ,CAJEME,798.0,BASICA,68.0,116.0,8.0,3.0,2.0,2.0,12.0,2.0,3.0,2.0,5.0,0.0,0.0,128.0,0.0,6.0,223.0,229.0
77.0,HERMOSILLO NOROESTE VIII ,HERMOSILLO,1341.0,CONTIGUA 1,91.0,95.0,8.0,4.0,3.0,3.0,8.0,3.0,5.0,2.0,0.0,0.0,0.0,104.0,0.0,9.0,222.0,231.0
84.0,AGUA PRIETA VII  ,AGUA PRIETA,22.0,CONTIGUA 7,170.0,79.0,4.0,6.0,5.0,18.0,6.0,0.0,0.0,2.0,2.0,4.0,0.0,111.0,0.0,5.0,296.0,301.0
30.0,HERMOSILLO NOROESTE VIII ,HERMOSILLO,1340.0,CONTIGUA 1,112.0,105.0,9.0,4.0,5.0,3.0,7.0,1.0,4.0,0.0,1.0,0.0,0.0,113.0,1.0,5.0,251.0,257.0
205.0,HUATABAMPO XXI  ,HUATABAMPO,1206.0,CONTIGUA 1,160.0,202.0,16.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,12.0,2.0,0.0,223.0,0.0,12.0,402.0,414.0
